Facilities,Amount,Comments,Sentiment
Room,6505,"Terrible and awful experience, would not go back.",Negative
Room,9813,The water was cloudy and the area was messy.,Negative
Event,4716,"Terrible and awful experience, would not go back.",Negative
Entrance,26163,"Beautiful view and very friendly, helpful staff.",Positive
Room,24160,"Excellent facility, highly recommend to everyone!",Positive
Reservation,15950,"Beautiful view and very friendly, helpful staff.",Positive
Event,13904,"The room was decent and normal, nothing special.",Neutral
Entrance,4263,Hindi kami nasiyahan sa aming stay dito.,Negative
Entrance,18041,Sulit na sulit ang booking namin.,Positive
Room,17205,"Everything was superb, clean, and well-maintained.",Positive
Hall Rental,10822,Good location but service was just standard.,Neutral
Entrance,2503,Rude staff and very slow service at reception.,Negative
Room,13941,The facilities are fine but could be better.,Neutral
Entrance,6440,"Dirty rooms, broken aircon, and bad smell.",Negative
Hall Rental,24610,Great value for money and a relaxing vibe.,Positive
Entrance,13232,"Standard amenities, fine experience for the price.",Neutral
Hall Rental,9873,"It was an okay stay, average service overall.",Neutral
Reservation,29996,Sulit na sulit ang booking namin.,Positive
Event,17665,"The room was decent and normal, nothing special.",Neutral
Room,2522,"Dirty rooms, broken aircon, and bad smell.",Negative
Room,29671,Mabait at magalang ang mga staff dito.,Positive
Room,25139,Mabait at magalang ang mga staff dito.,Positive
Entrance,8283,Madumi yung area nung dumating kami.,Negative
Hall Rental,8781,"Acceptable quality, sakto lang ang karanasan.",Neutral
Event,20897,Great value for money and a relaxing vibe.,Positive
Reservation,9461,"Acceptable quality, sakto lang ang karanasan.",Neutral
Hall Rental,14646,The facilities are fine but could be better.,Neutral
Event,6354,Madumi yung area nung dumating kami.,Negative
Entrance,28494,Mabait at magalang ang mga staff dito.,Positive
Room,8183,"Terrible and awful experience, would not go back.",Negative
Reservation,17192,The service was perfect and absolutely amazing.,Positive
Hall Rental,10505,Good location but service was just standard.,Neutral
Room,11687,"It was an okay stay, average service overall.",Neutral
Room,4683,Rude staff and very slow service at reception.,Negative
Reservation,19425,Sulit na sulit ang booking namin.,Positive
Event,13552,Hindi gaanong special pero okay naman yung stay.,Neutral
Hall Rental,17786,Medyo okay naman ang experience namin.,Neutral
Entrance,8057,"Disappointing stay, a total waste of money.",Negative
Hall Rental,20954,Sulit na sulit ang booking namin.,Positive
Room,13552,The facilities are fine but could be better.,Neutral
Event,18943,"Excellent facility, highly recommend to everyone!",Positive
Event,25382,Mabait at magalang ang mga staff dito.,Positive
Event,10077,The facilities are fine but could be better.,Neutral
Room,9230,The facilities are fine but could be better.,Neutral
Hall Rental,9797,"Disappointing stay, a total waste of money.",Negative
Room,22898,Mabait at magalang ang mga staff dito.,Positive
Entrance,21469,Great value for money and a relaxing vibe.,Positive
Event,22266,Great value for money and a relaxing vibe.,Positive
Hall Rental,3140,Mabagal ang serbisyo at medyo disappointing.,Negative
Event,23591,Sulit na sulit ang booking namin.,Positive
Reservation,6528,Madumi yung area nung dumating kami.,Negative
Event,2734,The water was cloudy and the area was messy.,Negative
Hall Rental,10130,Hindi gaanong special pero okay naman yung stay.,Neutral
Hall Rental,16560,"Standard amenities, fine experience for the price.",Neutral
Hall Rental,16343,"Excellent facility, highly recommend to everyone!",Positive
Event,24721,Walang kupas ang ganda ng pool area.,Positive
Hall Rental,9823,"Standard amenities, fine experience for the price.",Neutral
Room,7853,Mabagal ang serbisyo at medyo disappointing.,Negative
Entrance,18394,Walang kupas ang ganda ng pool area.,Positive
Hall Rental,6157,"Dirty rooms, broken aircon, and bad smell.",Negative
Reservation,2672,"Disappointing stay, a total waste of money.",Negative
Event,10850,"It was an okay stay, average service overall.",Neutral
Event,7024,"Terrible and awful experience, would not go back.",Negative
Reservation,7949,Mabagal ang serbisyo at medyo disappointing.,Negative
Entrance,22177,The service was perfect and absolutely amazing.,Positive
Entrance,15541,"Everything was superb, clean, and well-maintained.",Positive
Event,17071,Great value for money and a relaxing vibe.,Positive
Reservation,5199,"Dirty rooms, broken aircon, and bad smell.",Negative
Entrance,21047,Walang kupas ang ganda ng pool area.,Positive
Entrance,18876,Walang kupas ang ganda ng pool area.,Positive
Room,8124,"The room was decent and normal, nothing special.",Neutral
Event,15365,Sulit na sulit ang booking namin.,Positive
Hall Rental,19839,"Excellent facility, highly recommend to everyone!",Positive
Hall Rental,8591,"Disappointing stay, a total waste of money.",Negative
Room,23785,Mabait at magalang ang mga staff dito.,Positive
Hall Rental,9382,"Dirty rooms, broken aircon, and bad smell.",Negative
Entrance,10468,"It was an okay stay, average service overall.",Neutral
Room,29596,"Everything was superb, clean, and well-maintained.",Positive
Entrance,10775,"Standard amenities, fine experience for the price.",Neutral
Event,28875,"Excellent facility, highly recommend to everyone!",Positive
Entrance,14324,"It was an okay stay, average service overall.",Neutral
Entrance,25954,Sulit na sulit ang booking namin.,Positive
Event,12033,"Standard amenities, fine experience for the price.",Neutral
Reservation,6493,Mabagal ang serbisyo at medyo disappointing.,Negative
Event,13780,Hindi gaanong special pero okay naman yung stay.,Neutral
Entrance,25145,"Beautiful view and very friendly, helpful staff.",Positive
Room,7615,Madumi yung area nung dumating kami.,Negative
Entrance,11318,"It was an okay stay, average service overall.",Neutral
Hall Rental,3749,Rude staff and very slow service at reception.,Negative
Hall Rental,2564,Madumi yung area nung dumating kami.,Negative
Room,8361,Mabagal ang serbisyo at medyo disappointing.,Negative
Room,23427,Mabait at magalang ang mga staff dito.,Positive
Event,9094,"Standard amenities, fine experience for the price.",Neutral
Hall Rental,18380,Great value for money and a relaxing vibe.,Positive
Entrance,22010,"Beautiful view and very friendly, helpful staff.",Positive
Hall Rental,12444,Good location but service was just standard.,Neutral
Reservation,23707,Great value for money and a relaxing vibe.,Positive
Reservation,14460,"Standard amenities, fine experience for the price.",Neutral
Entrance,12000,"Acceptable quality, sakto lang ang karanasan.",Neutral
Entrance,26704,"Everything was superb, clean, and well-maintained.",Positive
Reservation,13454,Hindi gaanong special pero okay naman yung stay.,Neutral
Reservation,8727,"Standard amenities, fine experience for the price.",Neutral
Room,28014,"Beautiful view and very friendly, helpful staff.",Positive
Entrance,14603,Medyo okay naman ang experience namin.,Neutral
Entrance,20408,Walang kupas ang ganda ng pool area.,Positive
Entrance,4570,"Dirty rooms, broken aircon, and bad smell.",Negative
Reservation,16848,"It was an okay stay, average service overall.",Neutral
Hall Rental,22350,Sulit na sulit ang booking namin.,Positive
Entrance,11398,"Acceptable quality, sakto lang ang karanasan.",Neutral
Event,22179,"Excellent facility, highly recommend to everyone!",Positive
Room,9666,"Acceptable quality, sakto lang ang karanasan.",Neutral
Room,5192,"Dirty rooms, broken aircon, and bad smell.",Negative
Reservation,2838,Mabagal ang serbisyo at medyo disappointing.,Negative
Room,27605,Great value for money and a relaxing vibe.,Positive
Room,14169,"Standard amenities, fine experience for the price.",Neutral
Entrance,16394,"Beautiful view and very friendly, helpful staff.",Positive
Entrance,8634,The facilities are fine but could be better.,Neutral
Hall Rental,15860,Sulit na sulit ang booking namin.,Positive
Event,21643,Sulit na sulit ang booking namin.,Positive
Hall Rental,13578,"The room was decent and normal, nothing special.",Neutral
Reservation,15922,"Standard amenities, fine experience for the price.",Neutral
Entrance,17051,Mabait at magalang ang mga staff dito.,Positive
Hall Rental,13347,"It was an okay stay, average service overall.",Neutral
Room,2547,Madumi yung area nung dumating kami.,Negative
Event,23352,"Everything was superb, clean, and well-maintained.",Positive
Room,7585,Madumi yung area nung dumating kami.,Negative
Event,22079,Sulit na sulit ang booking namin.,Positive
Entrance,4824,The water was cloudy and the area was messy.,Negative
Entrance,16995,Hindi gaanong special pero okay naman yung stay.,Neutral
Hall Rental,10672,"Standard amenities, fine experience for the price.",Neutral
Room,7904,"Dirty rooms, broken aircon, and bad smell.",Negative
Entrance,29437,"Everything was superb, clean, and well-maintained.",Positive
Event,5793,Hindi kami nasiyahan sa aming stay dito.,Negative
Room,2587,"Terrible and awful experience, would not go back.",Negative
Entrance,26834,Sulit na sulit ang booking namin.,Positive
Entrance,11861,Medyo okay naman ang experience namin.,Neutral
Reservation,23632,Great value for money and a relaxing vibe.,Positive
Hall Rental,6275,"Disappointing stay, a total waste of money.",Negative
Reservation,16016,Hindi gaanong special pero okay naman yung stay.,Neutral
Event,9216,Good location but service was just standard.,Neutral
Event,29215,Mabait at magalang ang mga staff dito.,Positive
Room,21059,Walang kupas ang ganda ng pool area.,Positive
Room,14547,The facilities are fine but could be better.,Neutral
Hall Rental,7265,Mabagal ang serbisyo at medyo disappointing.,Negative
Entrance,15153,The service was perfect and absolutely amazing.,Positive
Room,19000,The service was perfect and absolutely amazing.,Positive
Room,10259,"The room was decent and normal, nothing special.",Neutral
Reservation,16548,"The room was decent and normal, nothing special.",Neutral
Hall Rental,16929,"Everything was superb, clean, and well-maintained.",Positive
Hall Rental,9134,"Standard amenities, fine experience for the price.",Neutral
Event,8068,The water was cloudy and the area was messy.,Negative
Event,8929,The facilities are fine but could be better.,Neutral
Event,8375,Mabagal ang serbisyo at medyo disappointing.,Negative
Reservation,9152,"Dirty rooms, broken aircon, and bad smell.",Negative
Event,15995,Mabait at magalang ang mga staff dito.,Positive
Room,9647,The facilities are fine but could be better.,Neutral
Event,23082,The service was perfect and absolutely amazing.,Positive
Room,4181,Madumi yung area nung dumating kami.,Negative
Event,11809,"Standard amenities, fine experience for the price.",Neutral
Hall Rental,8521,Madumi yung area nung dumating kami.,Negative
Event,15661,Walang kupas ang ganda ng pool area.,Positive
Room,16092,The facilities are fine but could be better.,Neutral
Entrance,2890,"Disappointing stay, a total waste of money.",Negative
Entrance,10504,Good location but service was just standard.,Neutral
Event,26794,Mabait at magalang ang mga staff dito.,Positive
Reservation,25852,"Everything was superb, clean, and well-maintained.",Positive
Room,13951,"It was an okay stay, average service overall.",Neutral
Entrance,29502,The service was perfect and absolutely amazing.,Positive
Entrance,7923,Mabagal ang serbisyo at medyo disappointing.,Negative
Event,9131,Rude staff and very slow service at reception.,Negative
Event,11183,"Acceptable quality, sakto lang ang karanasan.",Neutral
Reservation,25047,Great value for money and a relaxing vibe.,Positive
Reservation,6018,The water was cloudy and the area was messy.,Negative
Hall Rental,8990,"It was an okay stay, average service overall.",Neutral
Reservation,16475,Hindi gaanong special pero okay naman yung stay.,Neutral
Event,27237,Great value for money and a relaxing vibe.,Positive
Room,22285,Great value for money and a relaxing vibe.,Positive
Hall Rental,16089,"It was an okay stay, average service overall.",Neutral
Event,22790,The service was perfect and absolutely amazing.,Positive
Reservation,3517,"Dirty rooms, broken aircon, and bad smell.",Negative
Reservation,9651,Medyo okay naman ang experience namin.,Neutral
Reservation,17797,"Acceptable quality, sakto lang ang karanasan.",Neutral
Entrance,12042,"Standard amenities, fine experience for the price.",Neutral
Entrance,12426,"It was an okay stay, average service overall.",Neutral
Hall Rental,14696,The facilities are fine but could be better.,Neutral
Room,7946,Hindi kami nasiyahan sa aming stay dito.,Negative
Entrance,7210,Madumi yung area nung dumating kami.,Negative
Event,15688,The service was perfect and absolutely amazing.,Positive
Hall Rental,15081,The facilities are fine but could be better.,Neutral
Event,23125,"Excellent facility, highly recommend to everyone!",Positive
Room,2585,Hindi kami nasiyahan sa aming stay dito.,Negative
Entrance,5653,"Disappointing stay, a total waste of money.",Negative
Event,4100,Mabagal ang serbisyo at medyo disappointing.,Negative
Room,17969,The service was perfect and absolutely amazing.,Positive
Entrance,8758,The water was cloudy and the area was messy.,Negative
Hall Rental,5150,Madumi yung area nung dumating kami.,Negative
Room,2231,"Disappointing stay, a total waste of money.",Negative
Hall Rental,23609,"Beautiful view and very friendly, helpful staff.",Positive
Hall Rental,17729,"Acceptable quality, sakto lang ang karanasan.",Neutral
Event,22373,"Beautiful view and very friendly, helpful staff.",Positive
Reservation,10842,"Standard amenities, fine experience for the price.",Neutral
Room,8870,Good location but service was just standard.,Neutral
Hall Rental,10763,"The room was decent and normal, nothing special.",Neutral
Entrance,4415,The water was cloudy and the area was messy.,Negative
Hall Rental,25535,"Excellent facility, highly recommend to everyone!",Positive
Room,8782,"Dirty rooms, broken aircon, and bad smell.",Negative
Reservation,2604,"Terrible and awful experience, would not go back.",Negative
Hall Rental,12988,Good location but service was just standard.,Neutral
Reservation,8117,"Disappointing stay, a total waste of money.",Negative
Hall Rental,17433,Great value for money and a relaxing vibe.,Positive
Room,17866,The service was perfect and absolutely amazing.,Positive
Hall Rental,24687,Walang kupas ang ganda ng pool area.,Positive
Reservation,26725,Great value for money and a relaxing vibe.,Positive
Reservation,12928,The facilities are fine but could be better.,Neutral
Reservation,23712,"Everything was superb, clean, and well-maintained.",Positive
Entrance,13505,Medyo okay naman ang experience namin.,Neutral
Reservation,8646,"Terrible and awful experience, would not go back.",Negative
Entrance,23636,"Excellent facility, highly recommend to everyone!",Positive
Room,9716,"Standard amenities, fine experience for the price.",Neutral
Reservation,25816,Great value for money and a relaxing vibe.,Positive
Entrance,19014,Walang kupas ang ganda ng pool area.,Positive
Hall Rental,15178,"Acceptable quality, sakto lang ang karanasan.",Neutral
Reservation,9881,"Acceptable quality, sakto lang ang karanasan.",Neutral
Hall Rental,26870,"Beautiful view and very friendly, helpful staff.",Positive
Event,9797,"Disappointing stay, a total waste of money.",Negative
Hall Rental,14644,Good location but service was just standard.,Neutral
Hall Rental,10773,"Acceptable quality, sakto lang ang karanasan.",Neutral
Room,6503,Hindi kami nasiyahan sa aming stay dito.,Negative
Entrance,10068,"Acceptable quality, sakto lang ang karanasan.",Neutral
Room,16469,Medyo okay naman ang experience namin.,Neutral
Reservation,4806,Mabagal ang serbisyo at medyo disappointing.,Negative
Reservation,21656,"Everything was superb, clean, and well-maintained.",Positive
Event,6241,"Terrible and awful experience, would not go back.",Negative
Hall Rental,5598,"Disappointing stay, a total waste of money.",Negative
Entrance,15927,"Standard amenities, fine experience for the price.",Neutral
Event,16775,The facilities are fine but could be better.,Neutral
Reservation,9690,"Disappointing stay, a total waste of money.",Negative
Entrance,17673,Good location but service was just standard.,Neutral
Room,22112,Sulit na sulit ang booking namin.,Positive
Room,28645,"Excellent facility, highly recommend to everyone!",Positive
Room,17290,The facilities are fine but could be better.,Neutral
Entrance,21949,"Excellent facility, highly recommend to everyone!",Positive
Entrance,8103,The water was cloudy and the area was messy.,Negative
Reservation,11927,Medyo okay naman ang experience namin.,Neutral
Event,10224,"The room was decent and normal, nothing special.",Neutral
Reservation,15742,"It was an okay stay, average service overall.",Neutral
Hall Rental,16263,"It was an okay stay, average service overall.",Neutral
Room,8255,"Terrible and awful experience, would not go back.",Negative
Hall Rental,24087,The service was perfect and absolutely amazing.,Positive
Reservation,9099,Mabagal ang serbisyo at medyo disappointing.,Negative
Reservation,4892,The water was cloudy and the area was messy.,Negative
Event,16762,"Beautiful view and very friendly, helpful staff.",Positive
Reservation,6187,Mabagal ang serbisyo at medyo disappointing.,Negative
Entrance,4079,"Dirty rooms, broken aircon, and bad smell.",Negative
Hall Rental,21783,The service was perfect and absolutely amazing.,Positive
Entrance,13126,"Standard amenities, fine experience for the price.",Neutral
Event,12873,The facilities are fine but could be better.,Neutral
Reservation,22253,Great value for money and a relaxing vibe.,Positive
Room,18343,The service was perfect and absolutely amazing.,Positive
Hall Rental,18300,Sulit na sulit ang booking namin.,Positive
Entrance,17752,Mabait at magalang ang mga staff dito.,Positive
Reservation,8816,Medyo okay naman ang experience namin.,Neutral
Event,25749,"Excellent facility, highly recommend to everyone!",Positive
Room,12009,Good location but service was just standard.,Neutral
Event,11923,"Acceptable quality, sakto lang ang karanasan.",Neutral
Room,26811,"Excellent facility, highly recommend to everyone!",Positive
Room,16560,Hindi gaanong special pero okay naman yung stay.,Neutral
Event,9833,"Terrible and awful experience, would not go back.",Negative
Hall Rental,12204,"The room was decent and normal, nothing special.",Neutral
Room,17479,"Excellent facility, highly recommend to everyone!",Positive
Hall Rental,12994,"It was an okay stay, average service overall.",Neutral
Entrance,9680,"Disappointing stay, a total waste of money.",Negative
Event,7925,"Disappointing stay, a total waste of money.",Negative
Room,8996,"Disappointing stay, a total waste of money.",Negative
Event,2478,"Terrible and awful experience, would not go back.",Negative
Reservation,4358,Rude staff and very slow service at reception.,Negative
Reservation,26352,Sulit na sulit ang booking namin.,Positive
Event,2257,Madumi yung area nung dumating kami.,Negative
Entrance,15282,Hindi gaanong special pero okay naman yung stay.,Neutral
Reservation,16712,"Standard amenities, fine experience for the price.",Neutral
Room,5365,Madumi yung area nung dumating kami.,Negative
Event,16229,The service was perfect and absolutely amazing.,Positive
Room,10785,Good location but service was just standard.,Neutral
Event,23941,Sulit na sulit ang booking namin.,Positive
Entrance,16868,Mabait at magalang ang mga staff dito.,Positive
Hall Rental,6379,Mabagal ang serbisyo at medyo disappointing.,Negative
Reservation,11278,"Standard amenities, fine experience for the price.",Neutral
Reservation,8202,"Terrible and awful experience, would not go back.",Negative
Reservation,5567,Rude staff and very slow service at reception.,Negative
Room,7321,"Dirty rooms, broken aircon, and bad smell.",Negative
Event,9162,"Dirty rooms, broken aircon, and bad smell.",Negative
Hall Rental,2479,The water was cloudy and the area was messy.,Negative
Event,26451,Sulit na sulit ang booking namin.,Positive
Hall Rental,2595,"Dirty rooms, broken aircon, and bad smell.",Negative
Hall Rental,5836,Hindi kami nasiyahan sa aming stay dito.,Negative
Entrance,25582,Walang kupas ang ganda ng pool area.,Positive
Hall Rental,6224,The water was cloudy and the area was messy.,Negative
Room,17968,Hindi gaanong special pero okay naman yung stay.,Neutral
Hall Rental,5454,"Dirty rooms, broken aircon, and bad smell.",Negative
Reservation,3357,"Dirty rooms, broken aircon, and bad smell.",Negative
Entrance,16436,"The room was decent and normal, nothing special.",Neutral
Entrance,20782,The service was perfect and absolutely amazing.,Positive
Event,9631,"Disappointing stay, a total waste of money.",Negative
Entrance,6887,"Disappointing stay, a total waste of money.",Negative
Reservation,25248,Sulit na sulit ang booking namin.,Positive
Room,14476,"Standard amenities, fine experience for the price.",Neutral
Hall Rental,18452,Walang kupas ang ganda ng pool area.,Positive
Reservation,17836,"It was an okay stay, average service overall.",Neutral
Event,5018,"Dirty rooms, broken aircon, and bad smell.",Negative
Event,8370,"Disappointing stay, a total waste of money.",Negative
Hall Rental,12931,Medyo okay naman ang experience namin.,Neutral
Hall Rental,25361,"Beautiful view and very friendly, helpful staff.",Positive
Hall Rental,9645,The water was cloudy and the area was messy.,Negative
Entrance,3601,Hindi kami nasiyahan sa aming stay dito.,Negative
Hall Rental,9268,"It was an okay stay, average service overall.",Neutral
Entrance,17806,"Excellent facility, highly recommend to everyone!",Positive
Event,15716,Great value for money and a relaxing vibe.,Positive
Hall Rental,26829,Great value for money and a relaxing vibe.,Positive
Event,16135,"The room was decent and normal, nothing special.",Neutral
Event,28711,The service was perfect and absolutely amazing.,Positive
Reservation,15129,The facilities are fine but could be better.,Neutral
Hall Rental,9442,"Acceptable quality, sakto lang ang karanasan.",Neutral
Room,27611,Sulit na sulit ang booking namin.,Positive
Hall Rental,12922,"Standard amenities, fine experience for the price.",Neutral
Room,10158,"Acceptable quality, sakto lang ang karanasan.",Neutral
Event,14716,"Standard amenities, fine experience for the price.",Neutral
Room,16706,"Standard amenities, fine experience for the price.",Neutral
Reservation,15082,Hindi gaanong special pero okay naman yung stay.,Neutral
Hall Rental,8660,The facilities are fine but could be better.,Neutral
Event,8422,Hindi gaanong special pero okay naman yung stay.,Neutral
Hall Rental,23311,The service was perfect and absolutely amazing.,Positive
Hall Rental,2219,Hindi kami nasiyahan sa aming stay dito.,Negative
Entrance,26692,"Beautiful view and very friendly, helpful staff.",Positive
Entrance,21420,"Everything was superb, clean, and well-maintained.",Positive
Event,5398,The water was cloudy and the area was messy.,Negative
Hall Rental,8380,"Terrible and awful experience, would not go back.",Negative
Room,29350,Walang kupas ang ganda ng pool area.,Positive
Hall Rental,28125,"Excellent facility, highly recommend to everyone!",Positive
Event,26151,Sulit na sulit ang booking namin.,Positive
Room,9715,Madumi yung area nung dumating kami.,Negative
Reservation,12422,Hindi gaanong special pero okay naman yung stay.,Neutral
Event,18239,Walang kupas ang ganda ng pool area.,Positive
Room,3777,"Dirty rooms, broken aircon, and bad smell.",Negative
Hall Rental,2719,Madumi yung area nung dumating kami.,Negative
Reservation,8597,"It was an okay stay, average service overall.",Neutral
Reservation,17009,Medyo okay naman ang experience namin.,Neutral
Reservation,7802,"Dirty rooms, broken aircon, and bad smell.",Negative
Hall Rental,8270,"Standard amenities, fine experience for the price.",Neutral
Event,15539,"Everything was superb, clean, and well-maintained.",Positive
Entrance,28959,"Beautiful view and very friendly, helpful staff.",Positive
Reservation,8082,"Acceptable quality, sakto lang ang karanasan.",Neutral
Event,5029,The water was cloudy and the area was messy.,Negative
Hall Rental,19107,Sulit na sulit ang booking namin.,Positive
Entrance,12624,Medyo okay naman ang experience namin.,Neutral
Event,15538,Good location but service was just standard.,Neutral
Room,27322,"Beautiful view and very friendly, helpful staff.",Positive
Reservation,11786,"The room was decent and normal, nothing special.",Neutral
Event,4765,Rude staff and very slow service at reception.,Negative
Hall Rental,5967,Madumi yung area nung dumating kami.,Negative
Entrance,17976,The service was perfect and absolutely amazing.,Positive
Reservation,23662,Walang kupas ang ganda ng pool area.,Positive
Room,13002,Good location but service was just standard.,Neutral
Event,9774,"Standard amenities, fine experience for the price.",Neutral
Entrance,11667,Medyo okay naman ang experience namin.,Neutral
Hall Rental,22062,Great value for money and a relaxing vibe.,Positive
Reservation,28454,Mabait at magalang ang mga staff dito.,Positive
Reservation,5590,"Dirty rooms, broken aircon, and bad smell.",Negative
Hall Rental,10806,Good location but service was just standard.,Neutral
Room,7643,"Dirty rooms, broken aircon, and bad smell.",Negative
Event,8014,"Terrible and awful experience, would not go back.",Negative
Event,9260,Hindi kami nasiyahan sa aming stay dito.,Negative
Event,26128,"Everything was superb, clean, and well-maintained.",Positive
Hall Rental,19232,Sulit na sulit ang booking namin.,Positive
Hall Rental,10309,"Standard amenities, fine experience for the price.",Neutral
Hall Rental,2767,"Dirty rooms, broken aircon, and bad smell.",Negative
Event,3279,Hindi kami nasiyahan sa aming stay dito.,Negative
Entrance,9719,Hindi gaanong special pero okay naman yung stay.,Neutral
Event,29686,Walang kupas ang ganda ng pool area.,Positive
Reservation,3681,"Disappointing stay, a total waste of money.",Negative
Hall Rental,8429,The water was cloudy and the area was messy.,Negative
Room,13409,Hindi gaanong special pero okay naman yung stay.,Neutral
Room,9048,Madumi yung area nung dumating kami.,Negative
Hall Rental,3191,The water was cloudy and the area was messy.,Negative
Room,2128,"Disappointing stay, a total waste of money.",Negative
Event,6175,Madumi yung area nung dumating kami.,Negative
Room,15663,Mabait at magalang ang mga staff dito.,Positive
Hall Rental,29854,"Beautiful view and very friendly, helpful staff.",Positive
Room,16927,Great value for money and a relaxing vibe.,Positive
Event,4725,The water was cloudy and the area was messy.,Negative
Reservation,5337,"Disappointing stay, a total waste of money.",Negative
Hall Rental,8701,Rude staff and very slow service at reception.,Negative
Event,16105,Good location but service was just standard.,Neutral
Hall Rental,3030,The water was cloudy and the area was messy.,Negative
Entrance,13039,"The room was decent and normal, nothing special.",Neutral
Entrance,17720,"Everything was superb, clean, and well-maintained.",Positive
Reservation,5338,Rude staff and very slow service at reception.,Negative
Entrance,4460,Madumi yung area nung dumating kami.,Negative
Event,22878,The service was perfect and absolutely amazing.,Positive
Hall Rental,17133,Medyo okay naman ang experience namin.,Neutral
Room,11796,Medyo okay naman ang experience namin.,Neutral
Entrance,15106,"It was an okay stay, average service overall.",Neutral
Room,6314,"Terrible and awful experience, would not go back.",Negative
Room,8389,"The room was decent and normal, nothing special.",Neutral
Reservation,6551,Rude staff and very slow service at reception.,Negative
Room,29222,Walang kupas ang ganda ng pool area.,Positive
Hall Rental,11839,The facilities are fine but could be better.,Neutral
Event,9283,"It was an okay stay, average service overall.",Neutral
Reservation,16387,Mabait at magalang ang mga staff dito.,Positive
Room,4644,"Disappointing stay, a total waste of money.",Negative
Room,20542,Walang kupas ang ganda ng pool area.,Positive
Hall Rental,3108,"Terrible and awful experience, would not go back.",Negative
Event,14982,"It was an okay stay, average service overall.",Neutral
Hall Rental,11552,Good location but service was just standard.,Neutral
Reservation,10113,Medyo okay naman ang experience namin.,Neutral
Reservation,25526,Great value for money and a relaxing vibe.,Positive
Hall Rental,26758,Mabait at magalang ang mga staff dito.,Positive
Reservation,9647,Hindi gaanong special pero okay naman yung stay.,Neutral
Entrance,27116,Walang kupas ang ganda ng pool area.,Positive
Entrance,26005,Walang kupas ang ganda ng pool area.,Positive
Room,11267,Medyo okay naman ang experience namin.,Neutral
Entrance,8340,Madumi yung area nung dumating kami.,Negative
Hall Rental,21809,Great value for money and a relaxing vibe.,Positive
Room,11211,Medyo okay naman ang experience namin.,Neutral
Reservation,8386,"Terrible and awful experience, would not go back.",Negative
Room,5829,The water was cloudy and the area was messy.,Negative
Entrance,13300,Medyo okay naman ang experience namin.,Neutral
Entrance,28887,Mabait at magalang ang mga staff dito.,Positive
Hall Rental,6893,"Terrible and awful experience, would not go back.",Negative
Event,2120,Rude staff and very slow service at reception.,Negative
Reservation,20469,"Everything was superb, clean, and well-maintained.",Positive
Hall Rental,15544,"Acceptable quality, sakto lang ang karanasan.",Neutral
Hall Rental,2237,Hindi kami nasiyahan sa aming stay dito.,Negative
Entrance,8649,"Dirty rooms, broken aircon, and bad smell.",Negative
Room,7014,Rude staff and very slow service at reception.,Negative
Hall Rental,20713,Mabait at magalang ang mga staff dito.,Positive
Room,7745,Mabagal ang serbisyo at medyo disappointing.,Negative
Room,20051,Walang kupas ang ganda ng pool area.,Positive
Reservation,2550,The water was cloudy and the area was messy.,Negative
Hall Rental,17679,"Excellent facility, highly recommend to everyone!",Positive
Reservation,23120,"Everything was superb, clean, and well-maintained.",Positive
Entrance,9422,"Acceptable quality, sakto lang ang karanasan.",Neutral
Room,28635,"Everything was superb, clean, and well-maintained.",Positive
Hall Rental,6777,Madumi yung area nung dumating kami.,Negative
Entrance,9542,"Dirty rooms, broken aircon, and bad smell.",Negative
Entrance,16378,Hindi gaanong special pero okay naman yung stay.,Neutral
Reservation,26139,Walang kupas ang ganda ng pool area.,Positive
Room,17018,"Acceptable quality, sakto lang ang karanasan.",Neutral
Entrance,5740,Madumi yung area nung dumating kami.,Negative
Reservation,3869,Hindi kami nasiyahan sa aming stay dito.,Negative
Reservation,17984,"The room was decent and normal, nothing special.",Neutral
Reservation,29378,Sulit na sulit ang booking namin.,Positive
Event,25277,"Excellent facility, highly recommend to everyone!",Positive
Room,16531,Sulit na sulit ang booking namin.,Positive
Hall Rental,5624,Madumi yung area nung dumating kami.,Negative
Entrance,7218,"Terrible and awful experience, would not go back.",Negative
Event,5426,Hindi kami nasiyahan sa aming stay dito.,Negative
Room,13856,"Standard amenities, fine experience for the price.",Neutral
Room,14589,Good location but service was just standard.,Neutral
Hall Rental,4940,Hindi kami nasiyahan sa aming stay dito.,Negative
Event,23056,Sulit na sulit ang booking namin.,Positive
Room,9019,Medyo okay naman ang experience namin.,Neutral
Room,11200,"Acceptable quality, sakto lang ang karanasan.",Neutral
Room,9422,"Disappointing stay, a total waste of money.",Negative
Entrance,5427,Hindi kami nasiyahan sa aming stay dito.,Negative
Hall Rental,19426,Sulit na sulit ang booking namin.,Positive
Hall Rental,19249,"Everything was superb, clean, and well-maintained.",Positive
Hall Rental,15119,Hindi gaanong special pero okay naman yung stay.,Neutral
Hall Rental,3784,Madumi yung area nung dumating kami.,Negative
Room,26521,"Everything was superb, clean, and well-maintained.",Positive
Event,13037,"Standard amenities, fine experience for the price.",Neutral
Room,6928,"Terrible and awful experience, would not go back.",Negative
Entrance,10985,Hindi gaanong special pero okay naman yung stay.,Neutral
Reservation,15519,"Standard amenities, fine experience for the price.",Neutral
Event,24337,Walang kupas ang ganda ng pool area.,Positive
Entrance,24989,"Everything was superb, clean, and well-maintained.",Positive
